Watch_ID,Template_ID,Category,Target_Feed_URL,Schedule,Last_Run_At
sys_watch_081,typosquatting-monitor,🛡️ PhishVision & Cybersecurity (The Phishing Side),https://phishstats.info/phish_score.csv,0 */6 * * *,Active Scheduled Watch
sys_watch_082,fake-app-store-listing-alert,🛡️ PhishVision & Cybersecurity (The Phishing Side),https://raw.githubusercontent.com/mitchellkrogza/Phishing.Database/master/phishing-links-ACTIVE-TODAY.txt,0 0 * * *,Active Scheduled Watch
sys_watch_083,credential-harvester-takedown-generator,🛡️ PhishVision & Cybersecurity (The Phishing Side),https://cybercrime-tracker.net/rss.php,0 12 * * *,Active Scheduled Watch
sys_watch_084,social-media-impersonator-alert,🛡️ PhishVision & Cybersecurity (The Phishing Side),https://rules.emergingthreats.net/open/suricata/rules/compromised-ips.txt,0 0 * * 0,Active Scheduled Watch
sys_watch_085,ssl-certificate-expiry-monitor,🛡️ PhishVision & Cybersecurity (The Phishing Side),https://openphish.com/feed.txt,*/30 * * * *,Active Scheduled Watch
sys_watch_086,open-directory-finder-(dorks),🛡️ PhishVision & Cybersecurity (The Phishing Side),https://urlhaus.abuse.ch/api/,0 */6 * * *,Active Scheduled Watch
sys_watch_087,subdomain-takeover-scanner,🛡️ PhishVision & Cybersecurity (The Phishing Side),https://phishstats.info/phish_score.csv,0 0 * * *,Active Scheduled Watch
sys_watch_088,dark-web-marketplace-scanner,🛡️ PhishVision & Cybersecurity (The Phishing Side),https://raw.githubusercontent.com/mitchellkrogza/Phishing.Database/master/phishing-links-ACTIVE-TODAY.txt,0 12 * * *,Active Scheduled Watch
sys_watch_089,vip-executive-threat-monitor,🛡️ PhishVision & Cybersecurity (The Phishing Side),https://cybercrime-tracker.net/rss.php,0 0 * * 0,Active Scheduled Watch
sys_watch_090,counterfeit-product-takedown,🛡️ PhishVision & Cybersecurity (The Phishing Side),https://rules.emergingthreats.net/open/suricata/rules/compromised-ips.txt,*/30 * * * *,Active Scheduled Watch
sys_watch_091,malicious-telegram-group-monitor,🛡️ PhishVision & Cybersecurity (The Phishing Side),https://openphish.com/feed.txt,0 */6 * * *,Active Scheduled Watch
sys_watch_092,github-secrets-leaked-alert,🛡️ PhishVision & Cybersecurity (The Phishing Side),https://urlhaus.abuse.ch/api/,0 0 * * *,Active Scheduled Watch
sys_watch_093,defacement-monitor,🛡️ PhishVision & Cybersecurity (The Phishing Side),https://phishstats.info/phish_score.csv,0 12 * * *,Active Scheduled Watch
sys_watch_094,ransomware-blog-tracker,🛡️ PhishVision & Cybersecurity (The Phishing Side),https://raw.githubusercontent.com/mitchellkrogza/Phishing.Database/master/phishing-links-ACTIVE-TODAY.txt,0 0 * * 0,Active Scheduled Watch
sys_watch_095,phishing-email-attachment-sandbox,🛡️ PhishVision & Cybersecurity (The Phishing Side),https://cybercrime-tracker.net/rss.php,*/30 * * * *,Active Scheduled Watch
sys_watch_096,public-wi-fi-fake-portal-detector,🛡️ PhishVision & Cybersecurity (The Phishing Side),https://rules.emergingthreats.net/open/suricata/rules/compromised-ips.txt,0 */6 * * *,Active Scheduled Watch
sys_watch_097,stolen-credit-card-shop-monitor,🛡️ PhishVision & Cybersecurity (The Phishing Side),https://openphish.com/feed.txt,0 0 * * *,Active Scheduled Watch
sys_watch_098,fake-customer-support-number-alert,🛡️ PhishVision & Cybersecurity (The Phishing Side),https://urlhaus.abuse.ch/api/,0 12 * * *,Active Scheduled Watch
sys_watch_099,malware-payload-extractor,🛡️ PhishVision & Cybersecurity (The Phishing Side),https://phishstats.info/phish_score.csv,0 0 * * 0,Active Scheduled Watch
sys_watch_100,bounty-program-auto-submitter,🛡️ PhishVision & Cybersecurity (The Phishing Side),https://raw.githubusercontent.com/mitchellkrogza/Phishing.Database/master/phishing-links-ACTIVE-TODAY.txt,*/30 * * * *,Active Scheduled Watch
sys_watch_101,typosquatting-auto-assassin,🏦 Brand & Asset Protection (Enterprise Retainers),https://crt.sh/?q=%.chase.com&output=json,0 */6 * * *,Active Scheduled Watch
sys_watch_102,homograph-attack-detector,🏦 Brand & Asset Protection (Enterprise Retainers),https://crt.sh/?q=%.binance.com&output=json,0 0 * * *,Active Scheduled Watch
sys_watch_103,vip-executive-deepfake-shield,🏦 Brand & Asset Protection (Enterprise Retainers),https://openphish.com/feed.txt,0 12 * * *,Active Scheduled Watch
sys_watch_104,counterfeit-goods-sniper,🏦 Brand & Asset Protection (Enterprise Retainers),https://urlhaus.abuse.ch/api/,0 0 * * 0,Active Scheduled Watch
